date,aircraft_registration,aircraft_type,type_of_occurance,place_of_occurance,status,report,report_link,geocode,latitude,longitude,formatted_address
2014-07-15,RP-C1737,Cessna Aircraft Company C172N,Collision with Hangar Wall,"Subic Bay International Airport, Olongapo City, Philippines",Completed,Summary,http://www.caap.gov.ph?download=4339,"{'address_components': [{'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'Subic Bay International Airport, Subic Bay, Olongapo City, Zambales, Philippines', 'geometry': {'location': {'lat': 14.795422, 'lng': 120.282655}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 14.7967709802915, 'lng': 120.2840039802915}, 'southwest': {'lat': 14.7940730197085, 'lng': 120.2813060197085}}}, 'place_id': 'ChIJlzsgquFzljMRDjSpTWRpN0s', 'plus_code': {'compound_code': 'Q7WM+53 Subic Bay Freeport Zone, Philippines', 'global_code': '7Q62Q7WM+53'}, 'types': ['establishment', 'point_of_interest']}",14.795422,120.282655,"Subic Bay International Airport, Subic Bay, Olongapo City, Zambales, Philippines"
2014-02-15,RP-C3195,Airbus A319-111,Runway Excursion during taxi for departure,Butuan National Airport,Completed,Summary,http://www.caap.gov.ph?download=3167,"{'address_components': [{'long_name': 'Butuan Airport', 'short_name': 'Butuan Airport', 'types': ['airport', 'establishment', 'point_of_interest']}, {'long_name': 'Bancasi Rotunda', 'short_name': 'Bancasi Rotunda', 'types': ['route']}, {'long_name': 'Butuan City', 'short_name': 'Butuan City', 'types': ['locality', 'political']}, {'long_name': 'Agusan Del Norte', 'short_name': 'Agusan Del Norte', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Caraga', 'short_name': 'Caraga', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'Butuan Airport (BXU), Bancasi Rotunda, Butuan City, Agusan Del Norte, Philippines', 'geometry': {'location': {'lat': 8.9483591, 'lng': 125.4811673}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 8.9497080802915, 'lng': 125.4825162802915}, 'southwest': {'lat': 8.947010119708496, 'lng': 125.4798183197085}}}, 'place_id': 'ChIJUWiUTM3AATMRrtHpilYNDms', 'plus_code': {'compound_code': 'WFXJ+8F Butuan City, Agusan Del Norte, Philippines', 'global_code': '6QW7WFXJ+8F'}, 'types': ['airport', 'establishment', 'point_of_interest']}",8.9483591,125.4811673,"Butuan Airport (BXU), Bancasi Rotunda, Butuan City, Agusan Del Norte, Philippines"
2013-10-30,RP-C8832,Cessna 152 II,Forced Landing from Cruise,"Riverbed, Brgy Sta. Fe, San Marcelino, Zambales",Completed,Summary,http://www.caap.gov.ph?download=3251,"{'address_components': [{'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'Santa Fe, San Marcelino, Zambales, Philippines', 'geometry': {'location': {'lat': 14.973941, 'lng': 120.158044}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 14.9752899802915, 'lng': 120.1593929802915}, 'southwest': {'lat': 14.9725920197085, 'lng': 120.1566950197085}}}, 'place_id': 'ChIJ1QobEwLWlTMRouW5sD0jyyM', 'plus_code': {'compound_code': 'X5F5+H6 San Marcelino, Zambales, Philippines', 'global_code': '7Q62X5F5+H6'}, 'types': ['establishment', 'point_of_interest', 'school', 'secondary_school']}",14.973941,120.158044,"Santa Fe, San Marcelino, Zambales, Philippines"
2013-09-01,RP-C3545,Cessna 172S,Aircraft collision in the ramp during taxi,"Dornier Hangar, Clark Freeport Zone, Pampanga",Completed,Summary,http://www.caap.gov.ph?download=3254,"{'address_components': [{'long_name': 'Angeles', 'short_name': 'AC', 'types': ['locality', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}, {'long_name': '2009', 'short_name': '2009', 'types': ['postal_code']}], 'formatted_address': 'Hangar 7224 Civil Aviation Complex, Omni Driveway, Clark Freeport Zone, Angeles, 2009, Philippines', 'geometry': {'location': {'lat': 15.170197, 'lng': 120.564852}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 15.1715459802915, 'lng': 120.5662009802915}, 'southwest': {'lat': 15.1688480197085, 'lng': 120.5635030197085}}}, 'place_id': 'ChIJYSnijoLyljMRsOgaRaDjciA', 'plus_code': {'compound_code': '5HC7+3W Mabalacat, Pampanga, Philippines', 'global_code': '7Q725HC7+3W'}, 'types': ['establishment', 'point_of_interest']}",15.170197,120.564852,"Hangar 7224 Civil Aviation Complex, Omni Driveway, Clark Freeport Zone, Angeles, 2009, Philippines"
2013-08-26,RP-C5319,A320-232,Taxiing excursion at the far end of the runway after making a 180 degrees turn,Kalibo International Airport,Completed,Summary,http://www.caap.gov.ph?download=3257,"{'address_components': [{'long_name': 'Kalibo International Airport', 'short_name': 'Kalibo International Airport', 'types': ['airport', 'establishment', 'point_of_interest']}, {'long_name': 'Kalibo International Airport Access Road', 'short_name': 'Kalibo International Airport Access Road', 'types': ['route']}, {'long_name': 'Kalibo', 'short_name': 'Kalibo', 'types': ['locality', 'political']}, {'long_name': 'Aklan', 'short_name': 'Aklan', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Western Visayas', 'short_name': 'Western Visayas', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}, {'long_name': '5600', 'short_name': '5600', 'types': ['postal_code']}], 'formatted_address': 'Kalibo International Airport (KLO), Kalibo International Airport Access Road, Kalibo, 5600 Aklan, Philippines', 'geometry': {'location': {'lat': 11.6859324, 'lng': 122.3808504}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 11.6872813802915, 'lng': 122.3821993802915}, 'southwest': {'lat': 11.6845834197085, 'lng': 122.3795014197085}}}, 'place_id': 'ChIJiSeRGWudpTMRpfVW8G1UMVc', 'plus_code': {'compound_code': 'M9PJ+98 Kalibo, Aklan, Philippines', 'global_code': '7Q34M9PJ+98'}, 'types': ['airport', 'establishment', 'point_of_interest']}",11.6859324,122.3808504,"Kalibo International Airport (KLO), Kalibo International Airport Access Road, Kalibo, 5600 Aklan, Philippines"
2013-06-02,RP-C7257,ATR 72-212A,Runway Light Damage,"Francisco Bangoy International Airport, Davao City",Completed,Summary,http://www.caap.gov.ph?download=3263,"{'address_components': [{'long_name': 'Francisco Bangoy International Airport', 'short_name': 'Francisco Bangoy International Airport', 'types': ['airport', 'establishment', 'point_of_interest']}, {'long_name': 'Daang Maharlika Highway', 'short_name': 'Daang Maharlika Highway', 'types': ['route']}, {'long_name': 'Buhangin', 'short_name': 'Buhangin', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Davao City', 'short_name': 'Davao City', 'types': ['locality', 'political']}, {'long_name': 'Davao del Sur', 'short_name': 'Davao del Sur', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Davao Region', 'short_name': 'Davao Region', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}, {'long_name': '8000', 'short_name': '8000', 'types': ['postal_code']}], 'formatted_address': 'Francisco Bangoy International Airport, Daang Maharlika Highway, Buhangin, Davao City, 8000 Davao del Sur, Philippines', 'geometry': {'location': {'lat': 7.1304037, 'lng': 125.6455236}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 7.131752680291502, 'lng': 125.6468725802915}, 'southwest': {'lat': 7.129054719708497, 'lng': 125.6441746197085}}}, 'place_id': 'ChIJUds7WgZs-TIR9-6t9Gx25g4', 'plus_code': {'compound_code': '4JJW+56 Davao City, Davao del Sur, Philippines', 'global_code': '6QV74JJW+56'}, 'types': ['airport', 'establishment', 'point_of_interest']}",7.1304037,125.6455236,"Francisco Bangoy International Airport, Daang Maharlika Highway, Buhangin, Davao City, 8000 Davao del Sur, Philippines"
2013-05-24,RP-C3271,Airbus A320,Emergency Priority Landing due to Low Fuel Indication,"Ninoy Aquino International Airport (NAIA), Manila, Philippines",Completed,Summary,http://www.caap.gov.ph?download=3260,"{'address_components': [{'long_name': 'Ninoy Aquino International Airport', 'short_name': 'NAIA', 'types': ['airport', 'establishment', 'point_of_interest']}, {'long_name': 'Pasay', 'short_name': 'Pasay', 'types': ['locality', 'political']}, {'long_name': 'Metro Manila', 'short_name': 'NCR', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}, {'long_name': '1300', 'short_name': '1300', 'types': ['postal_code']}], 'formatted_address': 'Ninoy Aquino International Airport (MNL), Pasay, 1300 Metro Manila, Philippines', 'geometry': {'location': {'lat': 14.5122739, 'lng': 121.016508}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 14.5136228802915, 'lng': 121.0178569802915}, 'southwest': {'lat': 14.5109249197085, 'lng': 121.0151590197085}}}, 'place_id': 'ChIJd0270sXOlzMREUQRimL6JIo', 'plus_code': {'compound_code': 'G268+WJ Pasay, Metro Manila, Philippines', 'global_code': '7Q63G268+WJ'}, 'types': ['airport', 'establishment', 'point_of_interest']}",14.5122739,121.016508,"Ninoy Aquino International Airport (MNL), Pasay, 1300 Metro Manila, Philippines"
2012-10-11,RP-C984,Beechcraft BE-H18s,Tire Fell Off,Manila Domestic Airport,Completed,Summary,http://www.caap.gov.ph?download=3334,"{'address_components': [{'long_name': 'NAIA Terminal 2 Domestic Departures', 'short_name': 'NAIA Terminal 2 Domestic Departures', 'types': ['airport', 'establishment', 'point_of_interest']}, {'long_name': 'Departures Road', 'short_name': 'Departures Rd', 'types': ['route']}, {'long_name': 'Parañaque', 'short_name': 'Parañaque', 'types': ['locality', 'political']}, {'long_name': 'Metro Manila', 'short_name': 'NCR', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'NAIA Terminal 2 Domestic Departures, Departures Rd, Parañaque, Metro Manila, Philippines', 'geometry': {'location': {'lat': 14.5091009, 'lng': 121.0126176}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 14.5104498802915, 'lng': 121.0139665802915}, 'southwest': {'lat': 14.5077519197085, 'lng': 121.0112686197085}}}, 'place_id': 'ChIJu2HEasfOlzMRtMQZ4zLMjrg', 'plus_code': {'compound_code': 'G257+J2 Pasay, Metro Manila, Philippines', 'global_code': '7Q63G257+J2'}, 'types': ['airport', 'establishment', 'point_of_interest']}",14.5091009,121.0126176,"NAIA Terminal 2 Domestic Departures, Departures Rd, Parañaque, Metro Manila, Philippines"
2012-07-10,RP-C1955,Cessna 152 II,Nose Gear Collapsed,Lingayen Airport,Completed,Summary,http://www.caap.gov.ph?download=3287,"{'address_components': [{'long_name': 'Lingayen Airport', 'short_name': 'Lingayen Airport', 'types': ['airport', 'establishment', 'point_of_interest']}, {'long_name': '689', 'short_name': '689', 'types': ['street_number']}, {'long_name': 'Castillo Street', 'short_name': 'Castillo St', 'types': ['route']}, {'long_name': 'Lingayen', 'short_name': 'Lingayen', 'types': ['locality', 'political']}, {'long_name': 'Pangasinan', 'short_name': 'Pangasinan', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ilocos Region', 'short_name': 'Ilocos Region', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}, {'long_name': '2401', 'short_name': '2401', 'types': ['postal_code']}], 'formatted_address': 'Lingayen Airport, 689 Castillo St, Lingayen, 2401 Pangasinan, Philippines', 'geometry': {'location': {'lat': 16.0340804, 'lng': 120.2408358}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 16.0354293802915, 'lng': 120.2421847802915}, 'southwest': {'lat': 16.0327314197085, 'lng': 120.2394868197085}}}, 'place_id': 'ChIJx0IK-3JekTMRLmqP7PJEqf4', 'plus_code': {'compound_code': '26MR+J8 Lingayen, Pangasinan, Philippines', 'global_code': '7Q8226MR+J8'}, 'types': ['airport', 'establishment', 'point_of_interest']}",16.0340804,120.2408358,"Lingayen Airport, 689 Castillo St, Lingayen, 2401 Pangasinan, Philippines"
2012-05-23,RP-C143,Cessna 421B,Runway Run-off,"Busuanga Airport, Palawan",Completed,Summary,http://www.caap.gov.ph?download=3337,"{'address_components': [{'long_name': 'Francisco B. Reyes Airport', 'short_name': 'Francisco B. Reyes Airport', 'types': ['airport', 'establishment', 'point_of_interest']}, {'long_name': 'Palawan', 'short_name': 'Palawan', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}, {'long_name': '5316', 'short_name': '5316', 'types': ['postal_code']}], 'formatted_address': 'Francisco B. Reyes Airport (USU), Coron Island, 5316 Palawan, Philippines', 'geometry': {'location': {'lat': 12.1198332, 'lng': 120.0987196}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 12.1211821802915, 'lng': 120.1000685802915}, 'southwest': {'lat': 12.1184842197085, 'lng': 120.0973706197085}}}, 'place_id': 'ChIJhczJDxeLuTMRWoTodynAVf0', 'plus_code': {'compound_code': '439X+WF Busuanga, Palawan, Philippines', 'global_code': '7Q42439X+WF'}, 'types': ['airport', 'establishment', 'point_of_interest']}",12.1198332,120.0987196,"Francisco B. Reyes Airport (USU), Coron Island, 5316 Palawan, Philippines"
2012-02-21,RP-R2998,Ayres Turbo Thrush S2R-T34,Propeller Strike,"Osmeña Airstrip, Comval, Davao Del Norte",Completed,Summary,http://www.caap.gov.ph?download=3340,"{'address_components': [{'long_name': 'Compostela Valley', 'short_name': 'Compostela Valley', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Davao Region', 'short_name': 'Davao Region', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'Compostela Valley, Philippines', 'geometry': {'bounds': {'northeast': {'lat': 8.0004239, 'lng': 126.298481}, 'southwest': {'lat': 7.072843, 'lng': 125.6752589}}, 'location': {'lat': 7.512514999999999, 'lng': 126.1762615}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 8.0004239, 'lng': 126.298481}, 'southwest': {'lat': 7.072843, 'lng': 125.6752589}}}, 'partial_match': True, 'place_id': 'ChIJ86_JgwsE_DIRSUqB14K5-VU', 'types': ['administrative_area_level_2', 'political']}",7.512514999999999,126.1762615,"Compostela Valley, Philippines"
2011-10-06,RP-C1970,Beechcraft Baron BE-D55,Belly Landing,"Pagdanan Airstrip, Palawan",Completed,Summary,http://www.caap.gov.ph?download=3402,"{'address_components': [{'long_name': 'Pagdanan Peninsula', 'short_name': 'Pagdanan Peninsula', 'types': ['establishment', 'natural_feature']}, {'long_name': 'Poblacion San Vicente', 'short_name': 'Poblacion San Vicente', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'San Vicente', 'short_name': 'San Vicente', 'types': ['locality', 'political']}, {'long_name': 'Palawan', 'short_name': 'Palawan', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'MIMAROPA', 'short_name': 'MIMAROPA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'Pagdanan Peninsula, Poblacion San Vicente, San Vicente, Palawan, Philippines', 'geometry': {'location': {'lat': 10.5333333, 'lng': 119.25}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 10.5443031, 'lng': 119.2660074}, 'southwest': {'lat': 10.5223631, 'lng': 119.2339926}}}, 'partial_match': True, 'place_id': 'ChIJ8VVEop7XtTMRBJzImfpB8PM', 'types': ['establishment', 'natural_feature']}",10.5333333,119.25,"Pagdanan Peninsula, Poblacion San Vicente, San Vicente, Palawan, Philippines"
2011-09-06,RP-C3801,Cessna 152,Hard Landing,"Plaridel Airport, Plaridel Bulacan",Completed,Summary,http://www.caap.gov.ph?download=3405,"{'address_components': [{'long_name': 'Plaridel Airport', 'short_name': 'Plaridel Airport', 'types': ['airport', 'establishment', 'point_of_interest', 'university']}, {'long_name': '0385', 'short_name': '0385', 'types': ['street_number']}, {'long_name': 'General Alejo G. Santos Highway', 'short_name': 'General Alejo G. Santos Hwy', 'types': ['route']}, {'long_name': 'Plaridel', 'short_name': 'Plaridel', 'types': ['locality', 'political']}, {'long_name': 'Bulacan', 'short_name': 'Bulacan', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Central Luzon', 'short_name': 'Central Luzon', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}, {'long_name': '3004', 'short_name': '3004', 'types': ['postal_code']}], 'formatted_address': 'Plaridel Airport, 0385 General Alejo G. Santos Hwy, Plaridel, 3004 Bulacan, Philippines', 'geometry': {'location': {'lat': 14.8906749, 'lng': 120.8528025}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 14.8920238802915, 'lng': 120.8541514802915}, 'southwest': {'lat': 14.8893259197085, 'lng': 120.8514535197085}}}, 'place_id': 'ChIJPwQLV4hUljMRX_vyQR9WxhI', 'plus_code': {'compound_code': 'VVR3+74 Plaridel, Bulacan, Philippines', 'global_code': '7Q62VVR3+74'}, 'types': ['airport', 'establishment', 'point_of_interest', 'university']}",14.8906749,120.8528025,"Plaridel Airport, 0385 General Alejo G. Santos Hwy, Plaridel, 3004 Bulacan, Philippines"
2011-08-06,RP-C5758,Cessna 150L,Engine Failure,Mamburao National Airport,Completed,Summary,http://www.caap.gov.ph?download=3408,"{'address_components': [{'long_name': 'Mamburao', 'short_name': 'Mamburao', 'types': ['locality', 'political']}, {'long_name': 'Occidental Mindoro', 'short_name': 'Occidental Mindoro', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'MIMAROPA', 'short_name': 'MIMAROPA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'Mamburao, Occidental Mindoro, Philippines', 'geometry': {'bounds': {'northeast': {'lat': 13.3510405, 'lng': 120.773306}, 'southwest': {'lat': 13.1108278, 'lng': 120.5195044}}, 'location': {'lat': 13.2681778, 'lng': 120.6204892}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 13.3510405, 'lng': 120.773306}, 'southwest': {'lat': 13.1108278, 'lng': 120.5195044}}}, 'partial_match': True, 'place_id': 'ChIJrVF2metuvDMRBvbO_I2qj3I', 'types': ['locality', 'political']}",13.2681778,120.6204892,"Mamburao, Occidental Mindoro, Philippines"
2011-06-27,RP-R1750,Ayres S2R Thrush Commander,Engine flameout,"Tacor, Sto. Tomas, Davao Del Norte",Completed,Summary,http://www.caap.gov.ph?download=3411,"{'address_components': [{'long_name': 'Santo Tomas', 'short_name': 'Santo Tomas', 'types': ['locality', 'political']}, {'long_name': 'Davao del Norte', 'short_name': 'Davao del Norte', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Davao Region', 'short_name': 'Davao Region', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'Santo Tomas, Davao del Norte, Philippines', 'geometry': {'bounds': {'northeast': {'lat': 7.5633112, 'lng': 125.7340308}, 'southwest': {'lat': 7.419665899999999, 'lng': 125.5030061}}, 'location': {'lat': 7.509288700000001, 'lng': 125.6314191}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 7.5633112, 'lng': 125.7340308}, 'southwest': {'lat': 7.419665899999999, 'lng': 125.5030061}}}, 'place_id': 'ChIJQ3T-FC9L-TIRaDJsi-aQYE4', 'types': ['locality', 'political']}",7.509288700000001,125.6314191,"Santo Tomas, Davao del Norte, Philippines"
2011-04-02,RP-C860,Cessna 152,Crashed landing,Dumaguete Airport,Completed,Summary,http://www.caap.gov.ph?download=3414,"{'address_components': [{'long_name': 'Dumaguete–Sibulan Airport', 'short_name': 'Dumaguete–Sibulan Airport', 'types': ['airport', 'establishment', 'point_of_interest']}, {'long_name': 'Sibulan', 'short_name': 'Sibulan', 'types': ['locality', 'political']}, {'long_name': 'Negros Oriental', 'short_name': 'Negros Oriental', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Central Visayas', 'short_name': 'Central Visayas', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}, {'long_name': '6201', 'short_name': '6201', 'types': ['postal_code']}], 'formatted_address': 'Dumaguete–Sibulan Airport (DGT), Sibulan, 6201 Negros Oriental, Philippines', 'geometry': {'location': {'lat': 9.3337352, 'lng': 123.295932}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 9.335084180291503, 'lng': 123.2972809802915}, 'southwest': {'lat': 9.332386219708498, 'lng': 123.2945830197085}}}, 'place_id': 'ChIJzyHV4qxvqzMRjcbYkrqJ_7k', 'plus_code': {'compound_code': '87MW+F9 Sibulan, Negros Oriental, Philippines', 'global_code': '6QX587MW+F9'}, 'types': ['airport', 'establishment', 'point_of_interest']}",9.3337352,123.295932,"Dumaguete–Sibulan Airport (DGT), Sibulan, 6201 Negros Oriental, Philippines"
2011-03-29,RP-C9980,BE-E55,Right main landing gear collapsed during take off,"Runway 13, Manila Domestic Airport",Completed,Summary,http://www.caap.gov.ph?download=3417,"{'address_components': [{'long_name': 'Ninoy Aquino International Airport', 'short_name': 'NAIA', 'types': ['airport', 'establishment', 'point_of_interest']}, {'long_name': 'Pasay', 'short_name': 'Pasay', 'types': ['locality', 'political']}, {'long_name': 'Metro Manila', 'short_name': 'NCR', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}, {'long_name': '1300', 'short_name': '1300', 'types': ['postal_code']}], 'formatted_address': 'Ninoy Aquino International Airport (MNL), Pasay, 1300 Metro Manila, Philippines', 'geometry': {'location': {'lat': 14.5122739, 'lng': 121.016508}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 14.5136228802915, 'lng': 121.0178569802915}, 'southwest': {'lat': 14.5109249197085, 'lng': 121.0151590197085}}}, 'place_id': 'ChIJd0270sXOlzMREUQRimL6JIo', 'plus_code': {'compound_code': 'G268+WJ Pasay, Metro Manila, Philippines', 'global_code': '7Q63G268+WJ'}, 'types': ['airport', 'establishment', 'point_of_interest']}",14.5122739,121.016508,"Ninoy Aquino International Airport (MNL), Pasay, 1300 Metro Manila, Philippines"
2010-10-05,RP-C4421,Cessna 152 II,Emergency Landing,"Camotes Island, Brgy. Canoche",Completed,Summary,http://www.caap.gov.ph?download=3517,"{'address_components': [{'long_name': 'Camotes Islands', 'short_name': 'Camotes Islands', 'types': ['archipelago', 'establishment', 'natural_feature']}, {'long_name': 'Cebu', 'short_name': 'Cebu', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Central Visayas', 'short_name': 'Central Visayas', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'Camotes Islands, Cebu, Philippines', 'geometry': {'bounds': {'northeast': {'lat': 10.8344061, 'lng': 124.597132}, 'southwest': {'lat': 10.5535046, 'lng': 124.2421597}}, 'location': {'lat': 10.6939554, 'lng': 124.4196458}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 10.8344061, 'lng': 124.597132}, 'southwest': {'lat': 10.5535046, 'lng': 124.2421597}}}, 'partial_match': True, 'place_id': 'ChIJF8UtWKAyqDMRQaLg_8_B0bk', 'types': ['archipelago', 'establishment', 'natural_feature']}",10.6939554,124.4196458,"Camotes Islands, Cebu, Philippines"
2010-10-03,PH-JDK,M212-200,Emergency Landing,"San Jose, Mindoro",Completed,Summary,http://www.caap.gov.ph?download=3514,"{'address_components': [{'long_name': 'San Jose', 'short_name': 'San Jose', 'types': ['locality', 'political']}, {'long_name': 'Occidental Mindoro', 'short_name': 'Occidental Mindoro', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'MIMAROPA', 'short_name': 'MIMAROPA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'San Jose, Occidental Mindoro, Philippines', 'geometry': {'bounds': {'northeast': {'lat': 12.5543122, 'lng': 121.2446022}, 'southwest': {'lat': 12.149431, 'lng': 120.9698582}}, 'location': {'lat': 12.3474326, 'lng': 121.0659175}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 12.5543122, 'lng': 121.2446022}, 'southwest': {'lat': 12.149431, 'lng': 120.9698582}}}, 'place_id': 'ChIJI9i-2ugcuzMRUcqWq0GsgTs', 'types': ['locality', 'political']}",12.3474326,121.0659175,"San Jose, Occidental Mindoro, Philippines"
2010-09-02,RP-R3024,Grumman Ag-cat 164A,Variable change of strong gust wind,"Sittio Kapatagan, Laac, Compostella Valley",Completed,Summary,http://www.caap.gov.ph?download=3511,"{'address_components': [{'long_name': 'Kapatagan', 'short_name': 'Kapatagan', 'types': ['administrative_area_level_5', 'political']}, {'long_name': 'Compostela Valley', 'short_name': 'Compostela Valley', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Davao Region', 'short_name': 'Davao Region', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'Kapatagan, Compostela Valley, Philippines', 'geometry': {'bounds': {'northeast': {'lat': 7.736041900000001, 'lng': 125.8277679}, 'southwest': {'lat': 7.658761999999999, 'lng': 125.796923}}, 'location': {'lat': 7.696810299999999, 'lng': 125.811633}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 7.736041900000001, 'lng': 125.8277679}, 'southwest': {'lat': 7.658761999999999, 'lng': 125.796923}}}, 'partial_match': True, 'place_id': 'ChIJeSYxRfGj_jIRQk2j7PvuidU', 'types': ['administrative_area_level_5', 'political']}",7.696810299999999,125.811633,"Kapatagan, Compostela Valley, Philippines"
2010-08-05,RP-C8864,Cessna 152,Runway Excursion,Baguio Airport,Completed,Summary,http://www.caap.gov.ph?download=3505,"{'address_components': [{'long_name': 'Loakan Airport', 'short_name': 'Loakan Airport', 'types': ['airport', 'establishment', 'point_of_interest']}, {'long_name': 'Loakan Road', 'short_name': 'Loakan Rd', 'types': ['route']}, {'long_name': 'Baguio', 'short_name': 'Baguio', 'types': ['locality', 'political']}, {'long_name': 'Benguet', 'short_name': 'Benguet', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Cordillera Administrative Region', 'short_name': 'CAR', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'Loakan Airport, Loakan Rd, Baguio, Benguet, Philippines', 'geometry': {'location': {'lat': 16.3756831, 'lng': 120.6131128}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 16.3770320802915, 'lng': 120.6144617802915}, 'southwest': {'lat': 16.3743341197085, 'lng': 120.6117638197085}}}, 'place_id': 'ChIJMyiFLtWgkTMR50bU2xJqP0s', 'plus_code': {'compound_code': '9JG7+76 Baguio, Benguet, Philippines', 'global_code': '7Q829JG7+76'}, 'types': ['airport', 'establishment', 'point_of_interest']}",16.3756831,120.6131128,"Loakan Airport, Loakan Rd, Baguio, Benguet, Philippines"
